ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
TECH,1004500000.0,Lebih dari 5%,PT Indosterling Sarana Investa,True,79.96
TELE,1754641247.0,Lebih dari 5%,PT. PINS Indonesia,False,24.0
TFAS,732914300.0,Lebih dari 5%,PT M Cash Integrasi Tbk,True,43.975
TFCO,1595335024.0,Lebih dari 5%,PT Prospect Motor,True,33.08
TGKA,232707300.0,Lebih dari 5%,PT Widjajatunggal Sejahtera,False,25.3
TGRA,677853800.0,Lebih dari 5%,PT Terregra Asia Equity,True,24.65
TIFA,161955000.0,Lebih dari 5%,PT DWI SATRYA UTAMA,False,15.0
TINS,4841053951.0,Lebih dari 5%,PT INDONESIA ASAHAN ALUMINIUM (PERSERO),True,65.0
TIRA,259426340.0,Lebih dari 5%,PT Widjajatunggal Sejahtera,True,44.12
TIRT,821257310.0,Lebih dari 5%,PT Harita Jayaraya,True,81.17
TKIM,1857744987.0,Lebih dari 5%,PT Purinusa Ekapersada,True,59.6727
TLKM,51602353560.0,Lebih dari 5%,Negara Republik Indonesia,True,52.091
TMAS,4612264780.0,Lebih dari 5%,PT Temas Lestari,True,80.84
TMPO,90439394.0,Lebih dari 5%,Yayasan Pembangunan Jaya Raya,True,8.54
TNCA,115910400.0,Lebih dari 5%,Asetku Ecommerce Limited,False,27.49
TOBA,410800000.0,Lebih dari 5%,"Sinergi Sukses Utama, PT",False,5.1
TOPS,19583844633.0,Lebih dari 5%,PT Totalindo Investama Persada,True,58.76
TOTL,1926650000.0,Lebih dari 5%,PT Total Inti Persada,True,56.5
TOTO,2584908650.0,Lebih dari 5%,SURYAPARAMITRA ABADI,True,25.05
TOWR,26456619965.0,Lebih dari 5%,PT SAPTA ADHIKARI INVESTAMA,True,51.861
TOYS,414089900.0,Direksi,Iwan Tirtha ,True,28.86
TPIA,7469417600.0,Lebih dari 5%,PT Barito Pacific Tbk,True,41.88
TPMA,741247620.0,Lebih dari 5%,PT ASCEND BANGUN PERSADA,False,28.15
TRAM,6465824147.0,Lebih dari 5%,PT Graha Resources,True,13.02
TRIL,173150000.0,Lebih dari 5%,PT HENGTRACO PROTECSINDO,False,14.43
TRIM,3500000000.0,Lebih dari 5%,Advance Wealth Finance Ltd,True,49.23
TRIN,1804000000.0,Lebih dari 5%,PT Kunci Daud Indonesia,True,41.25
TRIO,2859706347.0,Lebih dari 5%,UOB Kay Hian Pte Ltd,False,10.99
TRIS,420000000.0,Lebih dari 5%,"Trisula Insan Tiara, PT",False,13.37
TRJA,681120000.0,Lebih dari 5%,PT Damai Investama Sukses,True,45.101
TRST,502784665.0,Lebih dari 5%,PT.Adilaksa Manunggal,True,17.91
TRUK,279060000.0,Lebih dari 5%,PT Guna Makmur Raya,True,64.15
TRUS,223760000.0,Lebih dari 5%,PT. Artha Capital Indonesia ,True,27.97
TSPC,3670231018.0,Lebih dari 5%,PT BOGAMULIA NAGADI,True,81.56
TUGU,1040000000.0,Lebih dari 5%,PERTAMINA,True,58.5
TURI,2580009000.0,Lebih dari 5%,Jardine Cycle & Carriage Limited,False,46.24
UANG,894396000.0,Lebih dari 5%,PT Sawangan Investasi Indonesia,True,73.92
UCID,2460690846.0,Lebih dari 5%,"Unicharm Corporation, Jepang",True,59.2
ULTJ,2472304260.0,Lebih dari 5%,PT PRAWIRAWIDJAJA PRAKARSA,False,21.4
UNIC,139351604.0,Lebih dari 5%,PT. Aspirasi Luhur,True,36.35
UNIT,16423425.0,Lebih dari 5%,Lenovo Worldwide Corporation,False,21.78
UNSP,273921631.0,Lebih dari 5%,Ernawati Ali,False,10.96
UNTR,2219317358.0,Lebih dari 5%,PT Astra International Tbk,True,59.5
UNVR,32424387500.0,Lebih dari 5%,Unilever Indonesia Holding B.V.,True,84.99
URBN,2401409999.0,Lebih dari 5%,PT Nusa Wijaya Propertindo,True,74.29
VICO,6236500000.0,Lebih dari 5%,PT Gratamulia Pratama,True,68.16
VINS,1065546895.0,Lebih dari 5%,PT Victoria Investama Tbk,True,72.96
VIVA,1982604666.0,Lebih dari 5%,"Raiffeisen Bank International AG, Singapore Branch S/A  PT Bakrie Global Ventura",True,12.04
VOKS,1250000000.0,Lebih dari 5%,DBS VICKERS (HONG KONG) LIMITED A/C CLIENT,False,30.08
VRNA,1425482304.0,Lebih dari 5%,PT. BANK PAN INDONESIA TBK,False,25.06
WAPO,100000000.0,Lebih dari 5%,PT Surya Pelangi Mandiri,False,8.06
WEGE,6633000000.0,Lebih dari 5%,PT Wijaya Karya (Persero) Tbk.,True,69.3
WEHA,124555686.0,Lebih dari 5%,PT. WEHA Investama,False,14.05
WICO,350145665.0,Lebih dari 5%,Djajadi Djaja,True,27.593
WIIM,314446611.0,Lebih dari 5%,Ronald Walla,True,14.97
WIKA,5834850000.0,Lebih dari 5%,Negara Republik Indonesia,True,65.049
WINS,1484926248.0,Lebih dari 5%,PT WINTERMARJAYA LESTARI,True,34.997
WOMF,2386646729.0,Lebih dari 5%,PT Bank Maybank Indonesia Tbk,True,68.5526
WOOD,4298201535.0,Lebih dari 5%,PT Integra Indo Lestari,True,68.158
WOWS,1570673048.0,Lebih dari 5%,PT Ginting Jaya Energi Tbk ,True,63.44
WSBP,15816680599.0,Lebih dari 5%,PT Waskita Karya (Persero) Tbk.,True,60.0
WSKT,8963697887.0,Lebih dari 5%,Negara Republik Indonesia,True,66.036
WTON,5229280000.0,Lebih dari 5%,PT WIjaya Karya (Persero) Tbk,True,60.0
YELO,159850000.0,Lebih dari 5%,PT Agung Inova Teknologi Indonesia,True,42.061
YPAS,597650500.0,Lebih dari 5%,PT Hastagraha Bumipersada,True,89.47
YULE,212464304.0,Lebih dari 5%,PT Gema Buana Indonesia,False,11.9
ZADI,,,,,
ZBRA,546249084.0,Lebih dari 5%,"Infiniti Wahana, PT",True,63.8
ZINC,2988164777.0,Lebih dari 5%,PT Sarana Inti Selaras,True,11.8
ZONE,304560000.0,Lebih dari 5%,Verosito Gunawan,True,35.0
